,YEAR,MONTH,MKT_UNIQUE_CARRIER,ORIGIN_CITY_NAME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,CANCELLED
0,2020,1,WN,"Ontario, CA",1851.0,41.0,41.0,0
1,2020,1,WN,"Ontario, CA",1146.0,-4.0,0.0,0
2,2020,1,WN,"Ontario, CA",2016.0,-4.0,0.0,0
3,2020,1,WN,"Ontario, CA",1350.0,10.0,10.0,0
4,2020,1,WN,"Ontario, CA",916.0,1.0,1.0,0
5,2020,1,WN,"Ontario, CA",602.0,2.0,2.0,0
6,2020,1,WN,"Ontario, CA",1624.0,4.0,4.0,0
7,2020,1,WN,"Ontario, CA",1604.0,59.0,59.0,0
8,2020,1,WN,"Ontario, CA",1225.0,-5.0,0.0,0
9,2020,1,WN,"Ontario, CA",740.0,0.0,0.0,0
10,2020,1,WN,"Ontario, CA",1022.0,-3.0,0.0,0
11,2020,1,WN,"Ontario, CA",2035.0,-5.0,0.0,0
12,2020,1,WN,"Ontario, CA",2246.0,-4.0,0.0,0
13,2020,1,WN,"Ontario, CA",1815.0,5.0,5.0,0
14,2020,1,WN,"Norfolk, VA",1230.0,60.0,60.0,0
15,2020,1,WN,"Norfolk, VA",629.0,-1.0,0.0,0
16,2020,1,WN,"Norfolk, VA",2013.0,-7.0,0.0,0
17,2020,1,WN,"Norfolk, VA",1746.0,1.0,1.0,0
18,2020,1,WN,"Norfolk, VA",1045.0,-5.0,0.0,0
19,2020,1,WN,"Norfolk, VA",1649.0,-1.0,0.0,0
20,2020,1,WN,"West Palm Beach/Palm Beach, FL",1256.0,-4.0,0.0,0
21,2020,1,WN,"West Palm Beach/Palm Beach, FL",657.0,-3.0,0.0,0
22,2020,1,WN,"West Palm Beach/Palm Beach, FL",1751.0,1.0,1.0,0
23,2020,1,WN,"West Palm Beach/Palm Beach, FL",1055.0,-5.0,0.0,0
24,2020,1,WN,"West Palm Beach/Palm Beach, FL",1057.0,182.0,182.0,0
25,2020,1,WN,"West Palm Beach/Palm Beach, FL",1937.0,2.0,2.0,0
26,2020,1,WN,"Portland, OR",1854.0,-6.0,0.0,0
27,2020,1,WN,"Portland, OR",1138.0,8.0,8.0,0
28,2020,1,WN,"Portland, OR",926.0,1.0,1.0,0
29,2020,1,WN,"Portland, OR",1338.0,28.0,28.0,0
30,2020,1,WN,"Portland, OR",1514.0,-1.0,0.0,0
31,2020,1,WN,"Portland, OR",2000.0,0.0,0.0,0
32,2020,1,WN,"Portland, OR",616.0,1.0,1.0,0
33,2020,1,WN,"Portland, OR",1517.0,37.0,37.0,0
34,2020,1,WN,"Portland, OR",1024.0,9.0,9.0,0
35,2020,1,WN,"Portland, OR",,,,1
36,2020,1,WN,"Portland, OR",1859.0,24.0,24.0,0
37,2020,1,WN,"Portland, OR",616.0,11.0,11.0,0
38,2020,1,WN,"Portland, OR",543.0,-2.0,0.0,0
39,2020,1,WN,"Portland, OR",1505.0,25.0,25.0,0
40,2020,1,WN,"Portland, OR",757.0,-3.0,0.0,0
41,2020,1,WN,"Portland, OR",1652.0,2.0,2.0,0
42,2020,1,WN,"Portland, OR",2023.0,-2.0,0.0,0
43,2020,1,WN,"Portland, OR",1227.0,22.0,22.0,0
44,2020,1,WN,"Portland, OR",1124.0,14.0,14.0,0
45,2020,1,WN,"Portland, OR",1041.0,-4.0,0.0,0
46,2020,1,WN,"Portland, OR",604.0,-1.0,0.0,0
47,2020,1,WN,"Portland, OR",2117.0,32.0,32.0,0
48,2020,1,WN,"Portland, OR",1324.0,4.0,4.0,0
49,2020,1,WN,"Portland, OR",1313.0,-2.0,0.0,0
50,2020,1,WN,"Portland, OR",1817.0,7.0,7.0,0
51,2020,1,WN,"Portland, OR",720.0,0.0,0.0,0
52,2020,1,WN,"Portland, OR",925.0,-5.0,0.0,0
53,2020,1,WN,"Portland, OR",842.0,-3.0,0.0,0
54,2020,1,WN,"Portland, OR",2035.0,30.0,30.0,0
55,2020,1,WN,"Portland, OR",1744.0,4.0,4.0,0
56,2020,1,WN,"Portland, OR",630.0,-5.0,0.0,0
57,2020,1,WN,"Portland, OR",1327.0,17.0,17.0,0
58,2020,1,WN,"Portland, OR",936.0,-4.0,0.0,0
59,2020,1,WN,"Philadelphia, PA",711.0,1.0,1.0,0
60,2020,1,WN,"Philadelphia, PA",1619.0,-1.0,0.0,0
