Province/State,Country/Region,Lat,Long,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021
,Afghanistan,33.93911,67.709953,51526,51526,51526,51526,53011,53105,53105,53207,53332,53400,53489,53538,53584,53584,53775,53831,53938,53984,54062,54141
,Albania,41.1533,20.1683,58316,58316,58991,59438,59623,60283,61008,61705,62378,63033,63595,63971,64627,65334,65994,66635,67216,67690,67982,68568
,Algeria,28.0339,1.6596,99610,99897,100159,100408,100645,100873,101120,101382,101657,101913,102144,102369,102641,102860,103127,103381,103611,103833,104092,104341
,Andorra,42.5063,1.5218,8049,8117,8166,8192,8249,8308,8348,8348,8489,8586,8586,8586,8682,8818,8868,8946,9038,9083,9083,9194
,Angola,-11.2027,17.8739,17553,17568,17608,17642,17684,17756,17864,17974,18066,18156,18193,18254,18343,18425,18613,18679,18765,18875,18926,19011
,Antigua and Barbuda,17.0608,-61.7964,159,159,159,160,160,160,163,163,167,169,176,176,176,176,184,184,187,189,189,190
,Argentina,-38.4161,-63.6167,1625514,1629594,1634834,1640718,1648940,1662730,1676171,1690006,1703352,1714409,1722217,1730921,1744704,1757429,1770715,1783047,1791979,1799243,1807428,1819569
,Armenia,40.0691,45.0382,159409,159738,159798,160027,160220,160544,160853,161054,161415,161794,162131,162288,162643,163128,163576,163972,164235,164586,164676,164912
Australian Capital Territory,Australia,-35.4735,149.0124,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
New South Wales,Australia,-33.8688,151.2093,4928,4947,4958,4965,4973,4978,4984,4995,5001,5007,5018,5034,5041,5043,5045,5057,5066,5074,5076,5079
Northern Territory,Australia,-12.4634,130.8456,75,75,81,81,81,87,87,88,90,90,90,90,91,93,93,93,93,93,93,95
Queensland,Australia,-27.4698,153.0251,1253,1255,1255,1260,1262,1263,1265,1274,1274,1274,1278,1281,1283,1287,1290,1291,1293,1294,1297,1299
South Australia,Australia,-34.9285,138.6007,580,580,580,583,581,582,582,585,587,587,588,588,590,590,591,593,593,593,593,594
Tasmania,Australia,-42.8821,147.3272,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
Victoria,Australia,-37.8136,144.9631,20376,20388,20391,20395,20399,20402,20402,20403,20404,20410,20411,20411,20414,20414,20414,20417,20424,20428,20432,20433
Western Australia,Australia,-31.9505,115.8605,861,863,867,868,869,872,874,874,874,875,877,878,879,881,884,886,887,887,888,888
,Austria,47.5162,14.5501,360815,362911,364302,365768,367410,369721,372190,374730,376793,379071,380722,382258,383833,385750,389260,390788,392511,393778,394939,396425
,Azerbaijan,40.1431,47.5769,218700,219041,219462,220265,220599,221401,222200,222885,223417,224050,224651,224827,225346,225820,226200,226549,226951,227273,227391,227696
,Bahamas,25.025885,-78.035889,7871,7887,7887,7914,7924,7928,7945,7959,7969,7969,7969,8004,8004,8011,8011,8021,8032,8032,8067,8068
,Bahrain,26.0275,50.55,92675,92913,93184,93478,93766,93995,94284,94633,95030,95317,95558,95879,96195,96470,96812,97020,97268,97607,97940,98260
,Bangladesh,23.685,90.3563,513510,514500,515184,516019,516929,517920,518898,519905,520690,521382,522453,523302,524020,524910,525723,526485,527063,527632,528329,529031
,Barbados,13.1939,-59.5432,383,395,395,556,606,643,743,743,780,808,878,884,968,1007,1036,1036,1095,1095,1095,1095
,Belarus,53.7098,27.9534,194284,196223,198125,199962,201831,203104,204958,206796,208601,210368,212201,213993,215724,217696,219663,221604,223537,225461,227360,228716
,Belgium,50.8333,4.469936,646496,648289,649169,650011,650887,652735,655732,658655,660703,662694,664263,665223,667322,670249,672886,675089,677209,678839,679771,681250
,Belize,17.1899,-88.4976,10776,10776,10807,10901,10938,11018,11108,11152,11202,11266,11303,11332,11366,11419,11456,11529,11529,11580,11592,11615
,Benin,9.3077,2.3158,3251,3251,3251,3251,3251,3304,3304,3304,3304,3304,3304,3363,3363,3413,3413,3413,3413,3413,3413,3413
,Bhutan,27.5142,90.4336,670,689,710,716,734,734,755,767,771,810,813,825,831,833,834,837,842,842,843,848
,Bolivia,-16.2902,-63.5887,160124,160985,162055,162661,163671,165268,166981,168891,171154,172798,173896,175288,176761,178818,181016,183589,185680,187183,188733,191090
,Bosnia and Herzegovina,43.9159,17.6791,110985,112143,112143,112645,112645,113392,113392,113392,114920,115379,115633,115633,116200,116668,117011,117011,117011,117011,118083,118383
,Botswana,-22.3285,24.6849,14805,14805,14805,14805,15368,15440,15440,16050,16050,16050,16050,16768,16768,16768,17365,17365,17365,17365,18630,18630
,Brazil,-14.235,-51.9253,7675973,7700578,7716405,7733746,7753752,7810400,7873830,7961673,8013708,8075998,8105790,8131612,8195637,8256536,8324294,8393492,8455059,8488099,8511770,8573864
,Brunei,4.5353,114.7277,157,157,157,172,172,172,172,173,173,173,173,173,174,174,174,174,174,174,174,174
,Bulgaria,42.7339,25.4858,202266,202540,202880,203051,204080,205390,206392,207259,208012,208406,208511,209131,209881,210416,210951,211503,211736,211813,212383,212927
,Burkina Faso,12.2383,-1.5616,6707,6828,6940,7051,7126,7342,7563,7713,7866,7866,8082,8279,8463,8546,8809,8882,9000,9188,9352,9352
